Probeset	Gene Symbol	EntrezsA	logFC	AveExpr	t	P.Value	adj.P.Val	B
219479_at	KDELC1	79070	1,533112751	6,978539421	5,540951292	3,52949E-05	0,003048103	2,441471482
209531_at	GSTZ1	2954	-1,28079356	8,346	-5,521329381	3,67343E-05	0,003128959	2,402669951
219795_at	SLC6A14	11254	3,986342374	6,246578583	5,503519997	3,80932E-05	0,003176868	2,367410185
209163_at	CYB561	1534	-1,83852155	10,16124974	-5,500628467	3,83186E-05	0,003176868	2,361681618
210830_s_at	PON2	5445	-1,613386384	9,498731146	-5,481572049	3,98392E-05	0,003259477	2,323901503
218159_at	DDRGK1	65992	-1,141061033	9,878004993	-5,463284681	4,13569E-05	0,003339704	2,287603121
209258_s_at	SMC3	9126	1,110480728	7,043551508	5,429276183	4,43395E-05	0,003534654	2,219989063
208925_at	CLDND1	56650	1,309687793	7,960466473	5,421521866	4,505E-05	0,003542572	2,204552226
215416_s_at	STOML2	30968	1,425438072	8,771081909	5,415837745	4,55783E-05	0,003542572	2,193231902
213906_at	MYBL1	4603	2,267008132	7,745127853	5,398541958	4,72252E-05	0,003625265	2,15876171
204014_at	DUSP4	1846	-2,652353163	6,937516339	-5,39089804	4,79725E-05	0,003637719	2,143515844
202647_s_at	NRAS	4893	1,52404429	7,611768615	5,376920477	4,93705E-05	0,003664368	2,115619041
218067_s_at	ARGLU1	55082	1,157816435	9,261523419	5,375293203	4,9536E-05	0,003664368	2,11236974
201719_s_at	EPB41L2	2037	1,08525037	8,569191842	5,369866653	5,00919E-05	0,003664368	2,101531816
204981_at	SLC22A18	5002	-1,287909295	9,019902478	-5,346154738	5,25972E-05	0,003800731	2,054132553
209648_x_at	SOCS5	9655	1,296162122	7,375654846	5,340819552	5,31784E-05	0,003800731	2,043458387
209308_s_at	BNIP2	663	1,038206772	7,907011155	5,309901449	5,66793E-05	0,004004906	1,981533275
210896_s_at	ASPH	444	-2,337574056	10,04933441	-5,298793752	5,79941E-05	0,004008346	1,959258243
209539_at	ARHGEF6	9459	1,089411649	9,212819524	5,298600473	5,80172E-05	0,004008346	1,95887052
213309_at	PLCL2	23228	1,212582606	8,012381349	5,263966251	6,23234E-05	0,004225987	1,889322295
202690_s_at	SNRPD1	6632	1,481127861	9,405140789	5,262392631	6,25267E-05	0,004225987	1,886159017
210130_s_at	TM7SF2	7108	-1,213006603	7,751433713	-5,253852245	6,36418E-05	0,004241804	1,868986204
221024_s_at	SLC2A10	81031	-2,898714929	10,09107187	-5,250199233	6,4125E-05	0,004241804	1,861638233
205260_s_at	ACYP1	97	1,314726186	7,113647926	5,217583949	6,86099E-05	0,004490077	1,795965137
218922_s_at	CERS4	79603	-1,143438215	7,231534533	-5,212603725	6,93225E-05	0,004490077	1,785926414
204709_s_at	KIF23	9493	1,17557485	5,237328354	5,192834756	7,22271E-05	0,004570833	1,746050052
216598_s_at	CCL2	6347	1,966634895	9,00233926	5,190747765	7,25409E-05	0,004570833	1,741837769
210241_s_at	TP53TG1	11257	-1,336761129	7,540495475	-5,189199717	7,27746E-05	0,004570833	1,738712946
214723_x_at	ANKRD36	375248	1,263367983	5,328900363	5,16568276	7,64213E-05	0,004751876	1,691209639
220532_s_at	TMEM176B	28959	1,553944334	9,970781634	5,159530753	7,74058E-05	0,00476544	1,678772665
201181_at	GNAI3	2773	1,154540893	7,993501	5,140978068	8,04545E-05	0,004904568	1,641240993
222209_s_at	TMEM135	65084	-1,960484393	8,410807441	-5,134266466	8,15875E-05	0,004925348	1,627654246
221563_at	DUSP10	11221	-1,529266637	8,559280496	-5,12640476	8,29354E-05	0,004939903	1,611733003
218035_s_at	RBM47	54502	-1,338502783	10,30460011	-5,123625093	8,34175E-05	0,004939903	1,60610211
202446_s_at	PLSCR1	5359	1,770089161	10,56222015	5,095898692	8,83859E-05	0,00518222	1,549889713
204573_at	CROT	54677	-1,74274908	9,104690613	-5,091636114	8,91762E-05	0,00518222	1,541240439
219529_at	CLIC3	9022	-1,977086566	6,105688261	-5,078404796	9,16758E-05	0,005232645	1,514380176
204855_at	SERPINB5	5268	2,719011163	7,819725471	5,078137957	9,1727E-05	0,005232645	1,513838287
209397_at	ME2	4200	1,073799657	9,808505806	5,064151367	9,4449E-05	0,005338945	1,485424178
44790_s_at	RUBCNL	80183	1,2771009	6,303081414	5,057830936	9,57061E-05	0,005361266	1,472577293
201596_x_at	KRT18	3875	-2,036032996	11,90063674	-5,041210102	9,90943E-05	0,005501504	1,438773872
218313_s_at	GALNT7	51809	-2,696666857	9,707901231	-5,015072883	0,000104673	0,005759794	1,385558055
204825_at	MELK	9833	1,427889075	10,1532532	5,009560366	0,00010589	0,005775654	1,374325511
213888_s_at	TRAF3IP3	80342	1,932368337	7,918525901	4,999161724	0,000108226	0,005851709	1,353128354
218854_at	DSE	29940	1,217610606	9,241318493	4,994068719	0,000109389	0,005863606	1,34274249
219940_s_at	PCID2	55795	0,967234138	9,14600626	4,984909722	0,000111512	0,00592231	1,324058505
201701_s_at	PGRMC2	10424	-1,053857385	9,414732473	-4,981183082	0,000112389	0,00592231	1,316453891
201650_at	KRT19	3880	-1,829055706	11,52113513	-4,957187429	0,000118202	0,006084325	1,267454974
201291_s_at	TOP2A	7153	2,056182301	9,498500926	4,954211877	0,000118944	0,006084325	1,261374946
210859_x_at	CLN3	1201	-1,067123998	9,32569917	-4,95315005	0,00011921	0,006084325	1,259205073
202109_at	ARFIP2	23647	-1,357932442	9,348945043	-4,950772467	0,000119807	0,006084325	1,254346015
218902_at	NOTCH1	4851	1,146280677	7,512785272	4,948601621	0,000120356	0,006084325	1,249908979
206346_at	PRLR	5618	-2,132714578	6,315151738	-4,942766978	0,000121842	0,006109806	1,237981146
212330_at	TFDP1	7027	1,603030167	10,23644213	4,933879876	0,000124143	0,006121906	1,219806745
203324_s_at	CAV2	858	1,715383015	6,084321952	4,933760639	0,000124174	0,006121906	1,219562849
202680_at	GTF2E2	2961	1,062897063	8,975699612	4,927927108	0,000125709	0,006121906	1,207628855
203690_at	TUBGCP3	10426	1,245921609	6,944603503	4,921872882	0,000127322	0,006121906	1,195239891
204444_at	KIF11	3832	1,360283408	8,356508184	4,918353373	0,00012827	0,006121906	1,188036179
202704_at	TOB1	10140	-1,766832396	10,20603912	-4,917368896	0,000128536	0,006121906	1,186020943
204319_s_at	RGS10	6001	1,323883417	7,963424662	4,915748291	0,000128976	0,006121906	1,182703345
209522_s_at	CRAT	1384	-2,304366184	8,37215311	-4,88348814	0,000138055	0,006503216	1,116610378
218877_s_at	TRMT11	60487	1,584201026	8,030716549	4,876930833	0,000139979	0,00654427	1,103164098
218499_at	STK26	51765	1,817845206	9,556379303	4,87023065	0,000141973	0,006587971	1,089420698
209842_at	SOX10	6663	1,432083806	7,641332934	4,864591977	0,000143674	0,006617509	1,077851439
222039_at	KIF18B	146909	1,27150454	8,364253554	4,857223326	0,000145928	0,006671907	1,062728236
201087_at	PXN	5829	-0,830659272	8,721788448	-4,837206519	0,000152235	0,0068798	1,02162124
204787_at	VSIG4	11326	1,2820522	9,065943331	4,835539718	0,000152773	0,0068798	1,018196614
208872_s_at	REEP5	7905	-1,611568428	10,50075372	-4,832389276	0,000153794	0,0068798	1,011723003
204774_at	EVI2A	2123	1,536218027	8,694711425	4,825799224	0,000155953	0,006926561	0,998178704
210445_at	FABP6	2172	-1,201789166	6,549569914	-4,808940788	0,000161619	0,007127296	0,963512505
201131_s_at	CDH1	999	-1,210943746	11,58977159	-4,791580086	0,000167674	0,007342228	0,927787259
203824_at	TSPAN8	7103	-3,948595921	6,485156585	-4,785056107	0,000170009	0,007356097	0,914355267
51158_at	FAM174B	400451	-1,635267429	8,477999624	-4,782276403	0,000171013	0,007356097	0,90863111
210319_x_at	MSX2	4488	-1,861271575	6,078660861	-4,780827041	0,00017154	0,007356097	0,905646222
211416_x_at	GGTLC1	92086	-2,221789935	8,267468198	-4,768063781	0,000176247	0,007506174	0,879353126
200972_at	TSPAN3	10099	1,029473772	10,55079796	4,763469201	0,000177973	0,007528141	0,869884603
205073_at	CYP2J2	1573	-1,892109235	8,353283734	-4,760258674	0,00017919	0,007528391	0,863267276
208854_s_at	STK24	8428	1,152765023	9,736265222	4,754590497	0,000181358	0,00756837	0,851582278
202401_s_at	SRF	6722	0,787307128	8,218884969	4,746004908	0,000184695	0,007656209	0,833877859
213418_at	HSPA6	3310	1,433954065	8,41702035	4,739764642	0,000187159	0,007664531	0,821005886
219148_at	PBK	55872	2,005380035	7,856060966	4,739215597	0,000187377	0,007664531	0,819873201
212607_at	AKT3	10000	1,104222352	9,012669683	4,736060232	0,000188637	0,007664531	0,813363167
201349_at	SLC9A3R1	9368	-1,844442962	10,42626145	-4,733103609	0,000189826	0,007664531	0,80726242
206584_at	LY96	23643	1,424150645	8,994478625	4,721367873	0,00019462	0,007807398	0,783039614
218342_s_at	ERMP1	79956	-0,983450101	9,934188929	-4,711866673	0,000198591	0,007915653	0,763420704
221927_s_at	ABHD11	83451	-1,434510345	9,157686176	-4,70012628	0,000203613	0,008057556	0,739168046
209616_s_at	CES1	1066	-1,802751977	8,121489344	-4,697525614	0,000204743	0,008057556	0,733794239
204669_s_at	RNF24	11237	-1,014674858	9,001385479	-4,663086592	0,000220322	0,008479947	0,662582009
209048_s_at	ZMYND8	23613	-1,48346199	8,610926457	-4,661862657	0,000220898	0,008479947	0,660049488
217973_at	DCXR	51181	-1,542791632	10,16319316	-4,659272627	0,00022212	0,008479947	0,654689917
205548_s_at	BTG3	10950	1,289208487	9,37133085	4,659263583	0,000222125	0,008479947	0,654671201
218438_s_at	MED28	80306	1,19024623	7,38003439	4,658903781	0,000222295	0,008479947	0,653926619
218331_s_at	FAM208B	54906	1,300079486	8,521600161	4,647419837	0,000227804	0,008637121	0,630156316
204238_s_at	DNPH1	10591	1,370852693	7,867866083	4,644401397	0,000229275	0,00864021	0,623906874
204304_s_at	PROM1	8842	3,565933563	8,033677886	4,635545485	0,000233647	0,008751923	0,605567461
204554_at	PPP1R3D	5509	-1,061595556	6,962107801	-4,630092612	0,000236381	0,008801138	0,594272381
209395_at	CHI3L1	1116	2,398577904	8,913927201	4,62727778	0,000237806	0,008801138	0,588440879
218757_s_at	UPF3B	65109	1,161482015	9,202901256	4,624523435	0,000239208	0,008801138	0,582734121
218530_at	FHOD1	29109	-0,886266252	7,818463196	-4,615099682	0,000244068	0,008879032	0,563204742
210791_s_at	ARHGAP32	9743	-1,200688335	7,769572739	-4,612709308	0,000245317	0,008879032	0,558250006
215696_s_at	SEC16A	9919	-1,126730902	9,81032376	-4,611628753	0,000245884	0,008879032	0,556010109
219053_s_at	VPS37C	55048	-1,092268243	10,10851961	-4,609438483	0,000247036	0,008879032	0,551469611
212265_at	QKI	9444	1,357051471	10,19372814	4,592093257	0,000256362	0,009161245	0,515500273
212973_at	RPIA	22934	1,168478653	9,974040664	4,577581919	0,000264438	0,009366291	0,485391322
210056_at	RND1	27289	-1,056754208	6,903982936	-4,576391511	0,000265112	0,009366291	0,482920743
221489_s_at	SPRY4	81848	-1,101498301	9,293292045	-4,56492716	0,000271693	0,009493141	0,459122587
205498_at	GHR	2690	-2,636798301	8,057376978	-4,564818102	0,000271756	0,009493141	0,458896158
213005_s_at	KANK1	23189	1,315151976	8,550498301	4,559810289	0,000274683	0,009541787	0,448497885
219694_at	FAM105A	54491	0,844312205	6,575316319	4,551531068	0,000279593	0,009579816	0,43130311
208998_at	UCP2	7351	-1,740036961	10,99990616	-4,551171889	0,000279808	0,009579816	0,430557042
209435_s_at	ARHGEF2	9181	0,856260538	9,391703148	4,550184597	0,0002804	0,009579816	0,428506244
210145_at	PLA2G4A	5321	1,941097688	5,401112227	4,546166118	0,000282822	0,009609772	0,420158413
219956_at	GALNT6	11226	-1,323758137	7,955269872	-4,539554588	0,000286854	0,009645386	0,406421549
204001_at	SNAPC3	6619	1,228083597	7,682595963	4,539361156	0,000286973	0,009645386	0,406019609
218546_at	C1orf115	79762	-1,266728337	8,410402508	-4,534016314	0,000290276	0,009687517	0,394912388
203855_at	WDR47	22911	1,006971988	7,878550391	4,532304612	0,000291342	0,009687517	0,391354871
218434_s_at	AACS	65985	-1,729758175	9,118201742	-4,519735496	0,000299293	0,009898971	0,365226029
209778_at	TRIP11	9321	-1,057650617	7,252475895	-4,512476342	0,000303986	0,01000097	0,350130994
210652_s_at	TTC39A	22996	-1,869322893	8,020493052	-4,507468506	0,000307266	0,010055696	0,339715513
219481_at	TTC13	79573	1,038862883	8,358690008	4,500844517	0,000311661	0,010146118	0,325936281
221874_at	KIAA1324	57535	-1,564451492	8,158918834	-4,486749036	0,000321227	0,010334021	0,296605802
210024_s_at	UBE2E3	10477	1,021339504	9,786574509	4,485962218	0,000321769	0,010334021	0,2949682
220559_at	EN1	2019	1,422844186	5,570703108	4,485022254	0,000322419	0,010334021	0,293011806
201095_at	DAP	1611	-1,346264241	9,852165651	-4,474689013	0,000329647	0,010511529	0,2715012
201563_at	SORD	6652	-2,38421161	9,570607865	-4,468001476	0,000334413	0,010575126	0,257576422
202422_s_at	ACSL4	2182	1,124907564	5,421941894	4,465936959	0,000335899	0,010575126	0,253277154
218531_at	TMEM134	80194	-1,069846663	9,901464044	-4,464766125	0,000336744	0,010575126	0,250838831
215465_at	ABCA12	26154	-2,246878427	5,863048104	-4,449700261	0,000347817	0,010867965	0,219456274
210328_at	GNMT	27232	-0,963647193	6,800047482	-4,435969105	0,000358231	0,011137388	0,190842649
209642_at	BUB1	699	1,456624117	7,606863089	4,430780584	0,000362247	0,011206243	0,180027817
208072_s_at	DGKD	8527	-0,787789721	10,15710371	-4,416152641	0,00037382	0,011426306	0,14952972
202003_s_at	ACAA2	10449	0,973245653	9,855044304	4,415889613	0,000374032	0,011426306	0,148981222
209173_at	AGR2	10551	-3,595146696	9,288668984	-4,414545251	0,000375115	0,011426306	0,146177733
205603_s_at	DIAPH2	1730	1,057235036	6,842914641	4,412569821	0,000376712	0,011426306	0,142058062
205174_s_at	QPCT	25797	1,740348577	6,538236116	4,398084445	0,000388635	0,011660838	0,111843143
218319_at	PELI1	57162	1,354812382	8,356678254	4,396417563	0,000390031	0,011660838	0,108365504
201272_at	AKR1B1	231	1,222728555	10,25914131	4,396371097	0,00039007	0,011660838	0,108268558
214670_at	ZKSCAN1	7586	-1,312157158	7,833319984	-4,389721325	0,000395692	0,0117431	0,09439361
203375_s_at	TPP2	7174	0,941885269	7,525047414	4,388657598	0,000396599	0,0117431	0,092173903
203554_x_at	PTTG1	9232	1,076287734	10,73983447	4,382822075	0,000401612	0,011835172	0,079995738
206002_at	ADGRG2	10149	1,52496364	7,018218333	4,378515932	0,000405352	0,011835265	0,071008142
220239_at	KLHL7	55975	1,187434971	7,250379787	4,377805817	0,000405972	0,011835265	0,06952593
218153_at	CARS2	79587	0,848690967	9,763728445	4,376260626	0,000407325	0,011835265	0,066300596
207700_s_at	NCOA3	8202	-1,387281475	8,288760048	-4,343023129	0,000437558	0,012583876	-0,003105282
200071_at	SMNDC1	10285	1,008313377	9,384893256	4,342640823	0,000437919	0,012583876	-0,003903908
202156_s_at	CELF2	10659	1,201754092	6,990964365	4,341327142	0,000439161	0,012583876	-0,006648202
214240_at	GAL	51083	1,334340579	6,985001348	4,338883493	0,00044148	0,012592302	-0,011753222
202942_at	ETFB	2109	-1,503577956	10,05214897	-4,333779177	0,000446364	0,012673487	-0,02241751
201743_at	CD14	929	1,624971305	9,73701509	4,328030237	0,000451931	0,01274976	-0,034429993
218552_at	ECHDC2	55268	-1,590394863	9,694359204	-4,326779649	0,000453152	0,01274976	-0,037043308
206155_at	ABCC2	1244	-1,14554776	6,390673404	-4,31418962	0,000465624	0,013000679	-0,063356103
202074_s_at	OPTN	10133	1,282419806	10,06255232	4,312342777	0,000467483	0,013000679	-0,067216528
209309_at	AZGP1	563	-3,340413832	10,41140324	-4,311491482	0,000468342	0,013000679	-0,068996025
203909_at	SLC9A6	10479	1,055899409	8,683659573	4,304882903	0,000475067	0,013087959	-0,082811246
219825_at	CYP26B1	56603	1,24902259	6,313288063	4,304269887	0,000475696	0,013087959	-0,084092848
213143_at	C2orf72	257407	-0,763084484	8,036413123	-4,300267954	0,000479822	0,01314331	-0,092459871
205164_at	GCAT	23464	-1,062694637	8,30763691	-4,284846848	0,000496061	0,013528538	-0,12470759
208690_s_at	PDLIM1	9124	-1,140465585	11,58063261	-4,27575342	0,000505896	0,013729736	-0,143727665
205120_s_at	SGCB	6443	1,396800972	9,006708219	4,273964531	0,000507854	0,013729736	-0,147469732
221854_at	PKP1	5317	1,2856025	7,6055662	4,271766097	0,000510271	0,013735354	-0,15206867
221685_s_at	SPDL1	54908	0,875500797	8,087853496	4,269402472	0,000512883	0,013746139	-0,157013378
209790_s_at	CASP6	839	-1,115614551	8,343881269	-4,265483921	0,000517242	0,013803474	-0,16521146
213110_s_at	COL4A5	1287	-1,788606259	8,186486244	-4,254998442	0,000529092	0,014059364	-0,187151141
204822_at	TTK	7272	1,55570898	7,764826328	4,248908048	0,0005361	0,014184982	-0,199896431
213260_at	FOXC1	2296	1,299198718	8,643040983	4,245628252	0,000539913	0,014225342	-0,206760564
211623_s_at	FBL	2091	1,108570543	10,97162172	4,239506748	0,000547104	0,01435397	-0,219572976
210519_s_at	NQO1	1728	-1,878568789	9,850067824	-4,234990788	0,00055247	0,014433868	-0,229025782
214733_s_at	YIPF1	54432	-1,044313789	9,498972185	-4,230778537	0,000557524	0,014495926	-0,237843484
212638_s_at	WWP1	11059	-1,31594146	9,373711486	-4,228005699	0,000560876	0,014495926	-0,243648318
218304_s_at	OSBPL11	114885	0,99854176	7,851814517	4,226648165	0,000562525	0,014495926	-0,246490357
203638_s_at	FGFR2	2263	1,229323097	8,331931816	4,224268398	0,000565427	0,014495926	-0,251472617
205197_s_at	ATP7A	538	-1,065516755	7,853944954	-4,222323696	0,000567809	0,014495926	-0,255544167
210136_at	MBP	4155	1,262963505	8,347318289	4,221490437	0,000568833	0,014495926	-0,257288767
213617_s_at	TPGS2	25941	0,966763671	8,091959773	4,214837788	0,000577076	0,014645956	-0,271218257
213508_at	SPTSSA	171546	-1,442868968	9,665961054	-4,209173035	0,00058419	0,014766234	-0,283080359
205780_at	BIK	638	-1,975347478	8,704524139	-4,205652285	0,000588656	0,01481888	-0,290453375
203186_s_at	S100A4	6275	1,396044283	8,942141255	4,193662137	0,000604126	0,015146999	-0,315565443
214104_at	GPR161	23432	1,29938149	7,518087561	4,187369388	0,000612409	0,015260194	-0,328746592
202580_x_at	FOXM1	2305	1,13886976	8,610387887	4,18650989	0,000613549	0,015260194	-0,330547032
219036_at	CEP70	80321	-1,078583471	7,953048621	-4,178603119	0,000624139	0,015389263	-0,347110758
202557_at	HSPA13	6782	1,037357774	7,759071017	4,178210668	0,00062467	0,015389263	-0,347932939
218942_at	PIP4K2C	79837	-0,823635865	9,912135322	-4,17710738	0,000626163	0,015389263	-0,35024434
212202_s_at	TMEM87A	25963	-1,331884491	9,816527828	-4,170817454	0,000634748	0,015538825	-0,363422423
210719_s_at	HMG20B	10362	-1,114046738	8,726379114	-4,164082037	0,000644072	0,015705256	-0,377534995
206247_at	MICB	4277	1,509372567	8,933022554	4,160864344	0,000648575	0,015753286	-0,384277361
217833_at	SYNCRIP	10492	1,413095981	9,534047747	4,153724371	0,000658682	0,01593651	-0,399239396
221934_s_at	DALRD3	55152	-1,162754312	8,534120544	-4,148217873	0,000666585	0,016065205	-0,410779265
201197_at	AMD1	262	1,499844366	8,854037376	4,139667891	0,000679046	0,016277886	-0,428698687
222201_s_at	CASP8AP2	9994	1,176522475	7,756469449	4,138581978	0,000680645	0,016277886	-0,430974709
218755_at	KIF20A	10112	1,133176477	8,808336746	4,136294852	0,000684026	0,016296068	-0,435768499
215245_x_at	FMR1	2332	1,235695138	8,929742307	4,133650151	0,000687957	0,016327158	-0,4413119
204980_at	CLOCK	9575	-0,66346513	8,802404516	-4,130572045	0,000692561	0,016373921	-0,447763925
219288_at	C3orf14	57415	-1,291267311	9,821047562	-4,125955895	0,000699523	0,016454295	-0,457440215
